Start time,dataset,Date,SP,Demand
2023-01-08 09:00:00+00:00,ITSDO,2023-01-08,19,26793
2023-01-08 09:30:00+00:00,ITSDO,2023-01-08,20,27108
2023-01-08 10:00:00+00:00,ITSDO,2023-01-08,21,27888
2023-01-08 10:30:00+00:00,ITSDO,2023-01-08,22,28545
2023-01-08 11:00:00+00:00,ITSDO,2023-01-08,23,29571
2023-01-08 11:30:00+00:00,ITSDO,2023-01-08,24,30316
2023-01-08 12:00:00+00:00,ITSDO,2023-01-08,25,31202
2023-01-08 12:30:00+00:00,ITSDO,2023-01-08,26,31295
2023-01-08 13:00:00+00:00,ITSDO,2023-01-08,27,31799
2023-01-08 13:30:00+00:00,ITSDO,2023-01-08,28,31904
2023-01-08 14:00:00+00:00,ITSDO,2023-01-08,29,32234
2023-01-08 14:30:00+00:00,ITSDO,2023-01-08,30,32425
2023-01-08 15:00:00+00:00,ITSDO,2023-01-08,31,33144
2023-01-08 15:30:00+00:00,ITSDO,2023-01-08,32,34075
2023-01-08 16:00:00+00:00,ITSDO,2023-01-08,33,35733
2023-01-08 16:30:00+00:00,ITSDO,2023-01-08,34,37400
2023-01-08 17:00:00+00:00,ITSDO,2023-01-08,35,38243
2023-01-08 17:30:00+00:00,ITSDO,2023-01-08,36,37979
2023-01-08 18:00:00+00:00,ITSDO,2023-01-08,37,37251
2023-01-08 18:30:00+00:00,ITSDO,2023-01-08,38,36398
2023-01-08 19:00:00+00:00,ITSDO,2023-01-08,39,35314
2023-01-08 19:30:00+00:00,ITSDO,2023-01-08,40,34109
2023-01-08 20:00:00+00:00,ITSDO,2023-01-08,41,33219
2023-01-08 20:30:00+00:00,ITSDO,2023-01-08,42,31882
2023-01-08 21:00:00+00:00,ITSDO,2023-01-08,43,30227
2023-01-08 21:30:00+00:00,ITSDO,2023-01-08,44,28607
2023-01-08 22:00:00+00:00,ITSDO,2023-01-08,45,27103
2023-01-08 22:30:00+00:00,ITSDO,2023-01-08,46,26401
2023-01-08 23:00:00+00:00,ITSDO,2023-01-08,47,25114
2023-01-08 23:30:00+00:00,ITSDO,2023-01-08,48,24420
2023-01-09 00:00:00+00:00,ITSDO,2023-01-09,1,24323
2023-01-09 00:30:00+00:00,ITSDO,2023-01-09,2,24779
2023-01-09 01:00:00+00:00,ITSDO,2023-01-09,3,24575
2023-01-09 01:30:00+00:00,ITSDO,2023-01-09,4,23999
2023-01-09 02:00:00+00:00,ITSDO,2023-01-09,5,23364
2023-01-09 02:30:00+00:00,ITSDO,2023-01-09,6,23234
2023-01-09 03:00:00+00:00,ITSDO,2023-01-09,7,22921
2023-01-09 03:30:00+00:00,ITSDO,2023-01-09,8,22714
2023-01-09 04:00:00+00:00,ITSDO,2023-01-09,9,22718
2023-01-09 04:30:00+00:00,ITSDO,2023-01-09,10,22925
2023-01-09 05:00:00+00:00,ITSDO,2023-01-09,11,23474
2023-01-09 05:30:00+00:00,ITSDO,2023-01-09,12,24422
